idx_to	idx_fr	rel
0	1	0.9943
0	4	0.7688
0	5	0.0522
0	6	0.8107
0	7	0.0535
0	10	0.2247
0	11	0.0378
0	12	0.9900
0	13	0.0376
0	14	0.5797
0	15	0.0378
0	16	0.4084
0	17	0.8113
0	18	0.0495
0	19	0.0610
0	20	0.1080
0	21	0.0423
0	22	0.6931
0	23	0.2898
0	24	0.5112
0	26	0.0423
0	28	0.0425
0	29	0.0369
0	30	0.7196
0	31	0.0578
0	32	0.5149
0	33	0.8268
0	34	0.0522
0	35	0.0600
0	36	0.0480
0	37	0.7088
0	38	0.2178
0	39	0.8486
0	40	0.0387
0	41	0.2392
0	42	0.0677
0	44	0.0748
0	45	0.0321
0	47	0.0752
0	48	0.1555
0	49	0.1044
0	52	0.0194
0	54	0.2666
0	55	0.2817
0	56	0.0392
0	57	0.3693
0	58	0.0651
0	59	0.5229
0	60	0.1017
0	61	0.0302
0	62	0.0371
0	63	0.2540
0	64	0.2729
0	66	0.1013
0	70	0.0862
0	73	0.1531
0	74	0.6547
0	75	0.2903
0	76	0.6411
0	77	0.6336
0	78	0.0727
0	80	0.1053
0	81	0.5601
0	82	0.2159
0	83	0.0775
0	85	0.0653
0	86	0.0374
0	88	0.1468
0	89	0.1128
0	91	0.0531
0	92	0.0496
0	93	0.0669
0	94	0.1137
0	95	0.1380
0	96	0.1853
0	98	0.1159
0	99	0.0509
0	100	0.1853
0	101	0.0474
0	102	0.0230
0	103	0.0386
0	104	0.2779
0	105	0.5106
0	107	0.0700
0	108	0.0596
0	109	0.1951
0	110	0.2777
0	111	0.2689
0	112	0.0333
0	114	0.2377
0	115	0.1170
0	116	0.0909
0	118	0.0723
0	119	0.2047
0	121	0.4275
0	122	0.0525
0	123	0.4019
0	124	0.2987
1	0	0.9641
1	2	0.0568
1	4	0.5176
1	5	0.0523
1	6	0.9902
1	7	0.0553
1	8	0.3112
1	9	0.0218
1	10	0.6933
1	11	0.0380
1	12	0.9001
1	13	0.0367
1	14	0.7351
1	15	0.0388
1	17	0.6603
1	18	0.0496
1	20	0.1038
1	21	0.0410
1	22	0.7901
1	25	0.1063
1	27	0.0536
1	29	0.0378
1	30	0.9027
1	33	0.9085
1	34	0.0542
1	36	0.0439
1	37	0.9476
1	38	0.1757
1	39	0.6953
1	40	0.0394
1	41	0.5387
1	42	0.2150
1	43	0.4286
1	44	0.1090
1	45	0.0315
1	46	0.2668
1	47	0.3709
1	48	0.2221
1	50	0.3249
1	51	0.1178
1	52	0.0327
1	53	0.0326
1	54	0.1714
1	55	0.3152
1	56	0.1213
1	57	0.3016
1	58	0.0623
1	59	0.3285
1	61	0.0269
1	62	0.0945
1	63	0.6185
1	64	0.1070
1	65	0.1381
1	67	0.6516
1	68	0.1168
1	69	0.0412
1	70	0.4160
1	71	0.1123
1	72	0.0907
1	73	0.1475
1	75	0.0521
1	77	0.4564
1	78	0.0835
1	79	0.0501
1	80	0.1061
1	81	0.1850
1	82	0.0937
1	83	0.0692
1	84	0.0932
1	86	0.0210
1	87	0.2712
1	90	0.0681
1	91	0.3744
1	92	0.0616
1	97	0.1077
1	98	0.2375
1	99	0.0444
1	100	0.0944
1	101	0.0218
1	102	0.0323
1	103	0.0375
1	104	0.0994
1	106	0.0227
1	107	0.0943
1	108	0.0055
1	110	0.0626
1	111	0.3139
1	112	0.0500
1	113	0.0446
1	114	0.2209
1	115	0.3935
1	116	0.1888
1	117	0.0631
1	118	0.3018
1	119	0.1986
1	120	0.1262
1	121	0.4703
1	122	0.1948
1	123	0.5051
1	124	0.3114
2	1	0.2986
2	3	0.0567
2	4	0.0551
2	5	0.0516
2	6	0.0537
2	7	0.0513
2	11	0.0374
2	12	0.0406
2	13	0.0373
2	14	0.0373
2	15	0.0342
2	16	0.0268
2	17	0.1522
2	18	0.0466
2	21	0.0370
2	22	0.0361
2	23	0.0240
2	24	0.0253
2	29	0.0344
2	32	0.0266
2	33	0.0510
2	34	0.0495
2	36	0.0315
2	39	0.0636
2	40	0.0356
2	51	0.0067
2	55	0.0188
2	65	0.0217
2	68	0.0301
2	71	0.0055
2	72	0.0251
2	74	0.0947
2	76	0.0886
2	84	0.0289
2	88	0.0211
2	89	0.0119
2	90	0.0413
2	94	0.0123
2	95	0.0213
2	96	0.0278
2	97	0.0307
2	109	0.0312
3	2	0.0560
3	5	0.0520
3	7	0.0522
3	11	0.0370
3	13	0.0365
3	15	0.0342
3	18	0.0463
3	21	0.0374
3	29	0.0345
3	34	0.0506
3	36	0.0322
3	40	0.0366
4	0	0.2037
4	1	0.1833
4	2	0.0474
4	6	0.1724
4	7	0.0516
4	8	0.0411
4	10	0.1896
4	11	0.0383
4	12	0.4213
4	13	0.0362
4	14	0.0478
4	15	0.0324
4	16	0.0247
4	17	0.1450
4	18	0.0444
4	20	0.1853
4	21	0.0552
4	22	0.1255
4	23	0.0208
4	24	0.0275
4	25	0.0149
4	27	0.0088
4	29	0.0336
4	30	0.0955
4	32	0.0292
4	33	0.0883
4	36	0.0428
4	37	0.2062
4	38	0.0125
4	39	0.1363
4	41	0.0380
4	43	0.0436
4	46	0.0257
4	47	0.0558
4	50	0.0100
4	53	0.0073
4	54	0.0107
4	55	0.0109
4	57	0.0235
4	59	0.0185
4	62	0.0107
4	64	0.0129
4	67	0.0275
4	68	0.0060
4	72	0.0078
4	74	0.0064
4	77	0.0410
4	80	0.0913
4	82	0.0169
4	86	0.0185
4	91	0.0201
4	92	0.0062
4	98	0.0086
4	99	0.0067
4	110	0.2166
4	114	0.0530
4	119	0.0259
4	121	0.0636
5	0	0.1628
5	1	0.1081
5	2	0.0474
5	3	0.0485
5	6	0.0540
5	7	0.0516
5	8	0.0349
5	10	0.1032
5	11	0.0383
5	12	0.0846
5	13	0.0362
5	14	0.0358
5	15	0.0323
5	16	0.0061
5	17	0.0891
5	18	0.0443
5	20	0.1229
5	21	0.0540
5	23	0.0054
5	24	0.0256
5	25	0.0063
5	29	0.0334
5	32	0.0268
5	33	0.0457
5	34	0.0481
5	36	0.0428
5	37	0.0912
5	40	0.0396
5	43	0.0411
5	46	0.0063
5	67	0.0207
5	72	0.0058
5	84	0.0091
5	97	0.0103
6	0	0.4850
6	1	0.9548
6	2	0.0448
6	4	0.1860
6	5	0.0490
6	8	0.0218
6	10	0.1633
6	11	0.0339
6	12	0.3041
6	13	0.0322
6	14	0.2492
6	15	0.0356
6	16	0.1494
6	17	0.1350
6	18	0.0416
6	19	0.0210
6	20	0.1221
6	21	0.0348
6	22	0.2677
6	23	0.1282
6	24	0.6659
6	26	0.0114
6	28	0.0118
6	29	0.0300
6	30	0.1710
6	31	0.0292
6	32	0.6642
6	33	0.0827
6	34	0.0469
6	35	0.0359
6	37	0.7028
6	38	0.0535
6	39	0.0485
6	40	0.0352
6	42	0.0344
6	43	0.0966
6	46	0.0614
6	48	0.0190
6	50	0.0246
6	51	0.0476
6	53	0.0176
6	54	0.0064
6	55	0.0468
6	57	0.0253
6	58	0.0077
6	60	0.0554
6	62	0.0064
6	65	0.0590
6	66	0.0538
6	67	0.3275
6	71	0.0501
6	73	0.0128
6	75	0.0283
6	85	0.4401
6	88	0.0217
6	89	0.0789
6	93	0.4430
6	94	0.0637
6	95	0.0218
6	99	0.0105
6	104	0.0781
6	105	0.4244
6	110	0.0222
6	112	0.0781
6	118	0.2157
6	119	0.0133
6	122	0.0655
6	124	0.6036
7	0	0.2711
7	1	0.3025
7	2	0.0448
7	3	0.0462
7	4	0.0556
7	5	0.0490
7	11	0.0339
7	12	0.0507
7	13	0.0322
7	14	0.0605
7	15	0.0317
7	16	0.0253
7	17	0.0527
7	18	0.0414
7	19	0.0067
7	20	0.0664
7	21	0.0333
7	22	0.1073
7	23	0.0179
7	24	0.1047
7	29	0.0297
7	30	0.0780
7	31	0.0057
7	32	0.1121
7	33	0.0671
7	34	0.0467
7	35	0.0074
7	36	0.0290
7	37	0.1164
7	38	0.0283
7	39	0.0473
7	40	0.0339
7	43	0.0315
7	44	0.0279
7	51	0.0221
7	56	0.0324
7	57	0.0112
7	60	0.0144
7	65	0.0268
7	66	0.0149
7	67	0.1883
7	70	0.0633
7	71	0.0096
7	85	0.0294
7	93	0.0297
7	94	0.0070
7	117	0.0827
8	1	0.7164
8	4	0.4294
8	6	0.6015
8	10	0.1006
8	12	0.6773
8	14	0.4917
8	16	0.2706
8	17	0.3216
8	19	0.0491
8	20	0.0430
8	22	0.3698
8	23	0.1484
8	24	0.1237
8	26	0.0338
8	28	0.0337
8	30	0.5888
8	31	0.0402
8	32	0.1172
8	33	0.5862
8	35	0.0363
8	37	0.6336
8	38	0.1932
8	39	0.3489
8	41	0.2083
8	42	0.0359
8	44	0.0569
8	48	0.1538
8	49	0.0894
8	54	0.0472
8	55	0.0446
8	57	0.1980
8	59	0.3012
8	60	0.0145
8	63	0.0963
8	64	0.1086
8	66	0.0134
8	73	0.0517
8	74	0.0191
8	75	0.0901
8	76	0.0210
8	77	0.1977
8	78	0.0579
8	80	0.0546
8	81	0.0638
8	82	0.0634
8	83	0.0741
8	88	0.0262
8	89	0.0126
8	92	0.0136
8	94	0.0116
8	95	0.0156
8	96	0.0055
8	99	0.0180
8	100	0.1853
8	104	0.0258
8	105	0.3855
8	107	0.0700
8	109	0.0068
8	110	0.1285
8	112	0.0161
8	114	0.0633
8	115	0.1170
8	116	0.0727
8	118	0.0723
8	122	0.0487
8	123	0.3222
8	124	0.2918
9	1	0.6969
9	4	0.3974
9	6	0.5559
9	10	0.0687
9	12	0.5795
9	14	0.4810
9	16	0.2490
9	17	0.2125
9	19	0.0482
9	20	0.0430
9	22	0.3539
9	23	0.1320
9	24	0.1186
9	26	0.0331
9	27	0.0301
9	28	0.0329
9	30	0.5825
9	31	0.0395
9	32	0.1118
9	33	0.5024
9	35	0.0354
9	36	0.0145
9	37	0.5436
9	38	0.1828
9	39	0.1966
9	41	0.2028
9	42	0.0359
9	44	0.0503
9	45	0.0245
9	48	0.1538
9	49	0.0803
9	51	0.0374
9	52	0.0157
9	53	0.0967
9	54	0.0472
9	55	0.0446
9	56	0.0247
9	57	0.1971
9	59	0.2180
9	60	0.0127
9	61	0.0071
9	62	0.0162
9	63	0.0963
9	64	0.1050
9	65	0.0119
9	66	0.0116
9	68	0.0054
9	69	0.0407
9	70	0.0221
9	71	0.0269
9	72	0.0091
9	73	0.0451
9	74	0.0164
9	75	0.0479
9	76	0.0176
9	77	0.1897
9	78	0.0579
9	79	0.0261
9	80	0.0546
9	81	0.0638
9	82	0.0527
9	83	0.0741
9	84	0.0106
9	85	0.0276
9	88	0.0181
9	89	0.0092
9	90	0.0054
